Date: Day.Month.Year;Power Generation [kWh];Tavg;Tmin;Tmax;Hum;VPD;Prec;Pbin;Wspd;Wmax;Wdir;Cld;Sol;Sun;Pres;Vis;Soil
23.09.23;12,40000;13,28333;10,20000;16,70000;88,50000;0,19506;2,10000;1,00000;3,47083;7,00000;233,83627;5,54167;848,00000;2,60000;1010,15833;31838,75000;14,90000
24.09.23;24,80000;12,95000;7,90000;17,40000;84,83333;0,26709;0,10000;1,00000;2,57917;5,00000;174,34896;1,87500;1306,00000;9,20000;1023,31250;34156,25000;14,70000
25.09.23;19,50000;14,48333;10,10000;20,20000;73,25000;0,53036;0,00000;0,00000;4,18333;7,70000;150,87614;4,45833;1227,00000;7,90000;1022,65000;54422,91667;15,30000
26.09.23;18,70000;15,32083;8,40000;22,00000;77,12500;0,49153;0,00000;0,00000;2,22083;4,50000;123,14623;5,95833;1173,00000;8,30000;1020,26667;41208,75000;16,20000
27.09.23;15,20000;17,76667;11,20000;23,60000;77,41667;0,56113;0,00000;0,00000;1,94583;4,10000;125,59298;5,45833;1156,00000;8,50000;1017,67083;27244,16667;18,30000
28.09.23;20,60000;18,16250;15,00000;22,60000;81,66667;0,42902;0,00000;1,00000;2,74583;5,00000;196,39029;6,12500;1156,00000;6,60000;1014,31667;33214,16667;19,30000
29.09.23;7,60000;18,20000;12,30000;23,00000;81,62500;0,41806;0,10000;1,00000;3,78750;7,30000;195,16057;6,33333;594,00000;1,30000;1013,94583;38298,75000;18,70000
30.09.23;15,60000;14,57083;11,80000;18,30000;81,50000;0,33774;0,00000;0,00000;3,64583;6,50000;247,89344;5,95833;1060,00000;7,00000;1021,86250;33558,75000;16,50000
01.10.23;5,50000;15,39167;13,20000;17,50000;87,33333;0,22471;1,50000;1,00000;2,94583;5,60000;218,04705;8,00000;464,00000;0,20000;1019,97500;25317,91667;16,20000
02.10.23;12,20000;18,46250;15,50000;22,50000;85,04167;0,35031;0,00000;0,00000;2,71667;5,30000;232,39226;7,00000;856,00000;4,30000;1016,30417;20450,83333;18,60000
03.10.23;5,70000;15,94583;12,40000;21,20000;84,87500;0,29469;4,00000;1,00000;5,93333;10,60000;226,88810;7,20833;542,00000;1,70000;1008,85833;28252,91667;15,90000
04.10.23;12,90000;14,37083;12,40000;17,20000;77,95833;0,37734;0,10000;1,00000;5,80833;6,90000;243,71175;6,79167;879,00000;4,40000;1018,90833;40735,41667;14,10000
05.10.23;26,20000;14,31250;11,90000;17,50000;82,37500;0,30798;8,00000;1,00000;4,85417;7,10000;253,63353;6,20833;940,00000;6,30000;1018,41667;34392,08333;14,70000
06.10.23;1,60000;14,77083;13,10000;17,40000;90,75000;0,15960;3,10000;1,00000;6,38750;8,10000;229,57934;7,75000;250,00000;0,00000;1016,26667;18280,00000;14,20000
07.10.23;2,20000;13,41667;10,20000;16,50000;96,41667;0,05687;22,40000;1,00000;4,00417;7,20000;301,46325;7,54167;220,00000;0,00000;1013,88750;9101,25000;14,70000
08.10.23;12,20000;11,60000;9,00000;14,40000;82,45833;0,25937;0,50000;1,00000;1,75417;2,90000;6,31332;6,95833;925,00000;6,40000;1022,52917;44074,58333;13,70000
09.10.23;2,50000;11,73750;9,30000;14,60000;95,91667;0,05413;7,00000;1,00000;3,01667;4,60000;160,28893;7,79167;199,00000;0,00000;1015,37083;18662,91667;12,50000
10.10.23;12,70000;15,44167;12,30000;18,20000;88,95833;0,21002;0,00000;1,00000;3,33333;5,60000;229,53227;7,75000;562,00000;1,30000;1014,34167;20707,08333;15,10000
11.10.23;3,80000;16,30833;14,40000;18,20000;84,95833;0,28331;0,00000;1,00000;5,85833;8,10000;235,31651;7,66667;329,00000;0,60000;1006,69583;25322,08333;14,80000
12.10.23;12,40000;12,43750;9,20000;15,80000;86,25000;0,21958;0,00000;1,00000;2,62917;5,20000;266,93545;6,91667;778,00000;5,50000;1010,40417;30325,83333;14,00000
13.10.23;3,20000;17,13333;12,10000;20,80000;87,37500;0,27441;0,00000;0,00000;7,02917;11,80000;195,36862;7,95833;291,00000;0,00000;1001,09167;27593,75000;15,30000
14.10.23;13,90000;10,76667;6,90000;17,00000;83,16667;0,21847;0,00000;1,00000;5,55833;10,20000;261,43908;5,50000;738,00000;5,10000;1003,44167;39842,08333;12,50000
15.10.23;12,60000;6,82917;5,50000;9,00000;91,33333;0,08804;0,00000;1,00000;4,30417;6,70000;249,92297;5,75000;648,00000;4,00000;1013,47500;30944,58333;9,00000
16.10.23;12,60000;7,58333;5,30000;11,10000;88,79167;0,13339;0,00000;1,00000;2,60833;4,10000;284,53177;7,45833;700,00000;3,40000;1018,71250;36450,83333;9,10000
17.10.23;18,80000;7,70833;3,10000;12,30000;85,12500;0,19186;0,00000;0,00000;1,09167;2,60000;244,79842;4,66667;722,00000;4,50000;1019,37500;38244,58333;9,70000
18.10.23;19,40000;6,75000;0,90000;11,30000;79,29167;0,24170;0,00000;0,00000;3,70000;7,60000;97,25061;4,79167;901,00000;8,90000;1011,17083;43802,91667;7,10000
